PVM peer = seed.btc.petertodd.org:8333  version = 70015   user agent = /Satoshi:0.17.1/   time = 2020-04-11 21:20:12  now = 2020-04-11 21:20:13  since = 1.144801s  services = [12, 4, 0, 0, 0, 0, 0, 0]
PAR address= [ V4(95.211.135.139) = "95.211.135.139", V6(::ffff:95.211.135.139) = "::ffff:95.211.135.139" ]    port = 8333   time = 2020-04-11 06:45:12  now = 2020-04-11 21:20:51  since = 52539.351088s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(216.71.203.33) = "216-71-203-33.dyn.novuscom.net", V6(::ffff:216.71.203.33) = "216-71-203-33.dyn.novuscom.net" ]    port = 8333   time = 2020-04-11 17:26:57  now = 2020-04-11 21:20:51  since = 14034.604102s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PVM peer = 73.89.35.108:8333  version = 70015   user agent = /Satoshi:0.17.0.1/   time = 2020-04-11 21:20:51  now = 2020-04-11 21:20:51  since = 717.716ms  services = [13, 4, 0, 0, 0, 0, 0, 0]
PVM peer = 95.211.135.139:8333  version = 70015   user agent = /Satoshi:0.19.0.1/   time = 2020-04-11 21:20:51  now = 2020-04-11 21:20:51  since = 858.792ms  services = [9, 4, 0, 0, 0, 0, 0, 0]
PAR address= [ V4(241.80.228.146) = "241.80.228.146", V6(2601:985:3:6df0:20a9:910c:f150:e492) = "2601:985:3:6df0:20a9:910c:f150:e492" ]    port = 8333   time = 2020-03-25 17:14:58  now = 2020-04-11 21:20:51  since = 1483553.874208s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PVM peer = 216.71.203.33:8333  version = 70015   user agent = /Satoshi:0.18.0/   time = 2020-04-11 21:20:51  now = 2020-04-11 21:20:52  since = 1.055235s  services = [13, 4, 0, 0, 0, 0, 0, 0]
PAR address= [ V4(174.93.144.96) = "mtrlpq02hsy-lp140-01-174-93-144-96.dsl.bell.ca", V6(::ffff:174.93.144.96) = "mtrlpq02hsy-lp140-01-174-93-144-96.dsl.bell.ca" ]    port = 8333   time = 2020-04-08 12:37:24  now = 2020-04-11 21:20:52  since = 290608.055262s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(83.193.174.236) = "lfbn-bay-1-85-236.w83-193.abo.wanadoo.fr", V6(::ffff:83.193.174.236) = "lfbn-bay-1-85-236.w83-193.abo.wanadoo.fr" ]    port = 8333   time = 2020-03-28 03:34:57  now = 2020-04-11 21:20:52  since = 1273555.307131s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(180.129.31.34) = "34.31.129.180.unknown.m1.com.sg", V6(::ffff:180.129.31.34) = "34.31.129.180.unknown.m1.com.sg" ]    port = 8333   time = 2020-03-20 19:24:17  now = 2020-04-11 21:20:52  since = 1907795.645323s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(144.2.123.201) = "bbcs-123-201.pub.wingo.ch", V6(::ffff:144.2.123.201) = "bbcs-123-201.pub.wingo.ch" ]    port = 8333   time = 2020-04-10 18:29:43  now = 2020-04-11 21:20:52  since = 96669.916362s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
